objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Aspens: Wild Weather","437758","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140939778","0","7.33333","0","0","288","thing","Aspens: Wild Weather","2","2","0","0","0","2025","","","","","","","","","","expansion","","11.99","USD","","","2025-11-24","miniaturemarket.com","","","","","Ludivore Games","English","2025","English edition"
"Azul","230802","7.5","22","0","1","0","0","0","0","0","0","0","3","","","","","","131864937","7.61006","7.71973","1.7739","94","177489","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Summer Pavilion","287954","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006839","7.30282","7.57317","2.0745","234","32241","thing","Azul: Summer Pavilion","2","4","45","45","30","2019","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bare Bones","388552","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","128294025","5.55206","7.71958","2","12781","187","thing","Bare Bones","2","4","30","30","20","2023","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","2025-08-14","","","","","","","","",""
"Bärenpark","219513","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","129010716","7.07208","7.27606","1.659","415","27805","thing","Bärenpark","2","4","45","45","30","2022","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","31.5","USD","","","2025-07-03","Manyrealms.com","","","","","Lookout Games","English; German","2022","English/German third edition"
"Bärenpark: The Bad News Bears","264238","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157046","6.41135","7.71356","2.087","0","6632","thing","Bärenpark: The Bad News Bears","2","4","45","45","30","2019","2,3,4","2,3,4","6+","No necessary in-game text","","","","","","expansion","","33.59","USD","","","2025-09-05","gamenerdz.com","","","","","","","",""
"Between Two Castles of Mad King Ludwig","258036","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","122006797","6.78917","7.22294","2.1883","759","11585","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Castles of Mad King Ludwig: Secrets & Soirees Expansion","336872","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","122990774","5.83657","7.69982","2","0","2259","thing","Between Two Castles of Mad King Ludwig: Secrets & Soirees Expansion","1","8","60","60","45","2021","1,2,3,4,5,6,7,8","4,5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Big Shot","1125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128038022","6.00404","6.98129","2","3112","1934","thing","Big Shot","2","4","30","30","30","2001","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Big Sur","414174","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133994712","5.70054","7.07626","1.9091","6199","1124","thing","Big Sur","2","4","30","30","15","2025","2,3,4","2","8+","","","","","","","standalone","","14.99","USD","","","2025-07-06","Tabletopmerchant.com","","","","","25th Century Games","English","2025","English edition"
"Big Top","369899","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133247809","5.87511","6.96494","1.8235","3999","1758","thing","Big Top","3","4","40","40","40","2023","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","347521","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136445213","5.97564","7.52615","1.7391","0","1594","thing","Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","1","2","45","45","20","2021","1,2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","25.74","USD","","","2025-09-13","Tabletopmerchant.com","","","","","PSC Games","English","2021","English edition, third printing"
"BLURT OFF! Party Animal Edition","442084","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133042808","0","9","0","0","4","thing","BLURT OFF! Party Animal Edition","3","6","30","30","15","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bonsai","366994","8","6","0","1","0","0","0","0","0","0","0","3","","","","","","122175167","6.49179","7.17814","1.8125","1329","6282","thing","Bonsai","1","4","40","40","40","2023","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bonsai: Vigorous Growth and Specialists","394083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006617","5.53678","6.77329","2.3333","0","691","thing","Bonsai: Vigorous Growth and Specialists","1","4","40","0","40","2023","1,2,3,4","4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bonsai: Wabi Sabi","422336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006615","5.57713","7.84201","2","0","690","thing","Bonsai: Wabi Sabi","1","5","40","40","40","2024","1,2,3,4,5","4,5","8","","","","","","","expansion","","","","","","","","","","","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004287","6.07925","6.26854","1.8473","2716","39240","thing","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125959913","8.398","8.56987","3.8659","1","80563","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brew","332386","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129893937","6.45966","7.02785","2.4592","1405","9081","thing","Brew","2","4","90","90","45","2021","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bullet: Orange","334649","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573859","5.82255","8.11288","2.2","0","2201","thing","Bullet: Orange","1","4","30","30","15","2021","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","19.99","USD","","","2025-04-14","Cardhaus.com","1","","","","","","",""
"Bullet★","343844","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","131708092","6.36417","7.93603","2.087","1654","3785","thing","Bullet★","1","4","15","15","15","2022","1,2,3,4","1,2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","31.99","USD","","","2025-04-14","Cardhaus.com","1","","","","","","",""
"Bullet♥︎","307305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130259793","6.85352","7.6067","2.1441","678","7724","thing","Bullet♥︎","1","4","20","20","10","2021","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bullrings","284490","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","135919106","0","6","0","0","30","thing","Bullrings","2","4","20","20","10","2019","","","","","","","","","","standalone","","30","USD","","","2025-08-29","Saltcon","","","","","Binary Cocoa","English","2019","English edition"
"Caesar!: Seize Rome in 20 Minutes!","338957","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125959830","6.76247","7.51543","1.958","801","7234","thing","Caesar!: Seize Rome in 20 Minutes!","1","2","20","20","20","2022","1,2","2","10+","No necessary in-game text","","","","","","standalone","","21.49","USD","","","2025-06-28","Tabletopmerchant.com","","","","","PSC Games","English","2022","English edition"
"Call to Adventure: The Stormlight Archive","266993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006966","5.94301","6.93463","1.9474","3493","4392","thing","Call to Adventure: The Stormlight Archive","1","4","60","60","30","2020","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","128525483","7.24918","7.54727","1.5094","265","29513","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Can't Stop","41","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","133004430","6.78485","6.94206","1.1418","765","21948","thing","Can't Stop","2","4","30","30","30","1980","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Canvas","290236","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","132844429","6.92515","7.20186","1.732","585","31097","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Canvas: Finishing Touches","371924","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132844412","5.8336","7.82799","2.6","0","4004","thing","Canvas: Finishing Touches","1","5","30","30","30","2023","1,2,3,4","2,3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Canvas: Reflections","335172","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132844423","6.28305","7.65147","2.08","0","7719","thing","Canvas: Reflections","1","5","30","30","30","2022","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Cargo Empire","394512","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138366729","5.58029","6.96007","2.375","10367","304","thing","Cargo Empire","1","5","90","90","60","2025","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","53.61","USD","","","2025-11-08","miniaturemarket.com","1","","","","Moaideas Game Design","Chinese; English; Japanese","2025","Chinese/English/Japanese deluxe edition"
"Cartographers","263918","9","15","0","1","0","0","0","0","0","0","0","2","","","","","","131836772","7.39466","7.55982","1.8913","178","60867","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers Heroes","315767","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132543051","7.04033","7.71807","1.9709","446","15980","thing","Cartographers Heroes","1","100","45","45","30","2021","1,2,3,4,5,6,7,8,9,10","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia","295947","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","127061640","7.74179","7.89824","1.8428","57","88425","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia: Landmarks","385318","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127061677","6.78815","7.75648","2.2329","0","16441","thing","Cascadia: Landmarks","1","6","45","45","30","2023","1,2,3,4,5,6","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Castle Combo","416851","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","134202308","7.2574","7.66282","1.7308","257","19503","thing","Castle Combo","2","5","25","25","10","2024","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","21.74","USD","","","2025-05-04","Amazon.com","","","","","Pandasaurus Games","English","2024","Pandasaurus English edition"
"The Castles of Burgundy","84876","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","135919241","8.02647","8.15622","2.9736","15","82866","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Century: Golem Edition – Eastern Mountains","283619","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134077328","6.3229","7.32167","2.175","1768","6185","thing","Century: Golem Edition – Eastern Mountains","2","4","45","45","30","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","19.99","USD","","","2025-07-10","Gamenerdz.com","","","","","Plan B Games","English","2019","English edition"
"Challengers!","359970","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","124162927","6.66835","7.06551","1.8","956","11076","thing","Challengers!","1","8","45","45","45","2022","2,4,6,8","4,6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicles of Crime","239188","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086283","7.16145","7.54235","2.062","336","41097","thing","Chronicles of Crime","1","4","90","90","60","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","20.96","USD","","","2025-08-06","LuckyDuckGames.com","","","","","Lucky Duck Games","English","2018","English second edition"
"Chronicles of Crime: 1400","300300","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086286","6.77532","7.6833","1.9882","783","13029","thing","Chronicles of Crime: 1400","1","4","90","90","60","2020","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","15.72","USD","","","2025-08-06","LuckyDuckGames.com","","","","","Lucky Duck Games","English","2020","English edition"
"Chronicles of Crime: 1900","302098","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086282","6.5379","7.89256","1.9286","1217","9871","thing","Chronicles of Crime: 1900","1","4","90","90","60","2021","1,2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","15.72","USD","","","2025-08-06","LuckyDuckGames.com","","","","","Lucky Duck Games","English","2021","English edition"
"Chronicles of Crime: 2400","302312","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086288","6.24985","7.61771","2.1364","2007","8934","thing","Chronicles of Crime: 2400","1","4","90","90","60","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","15.72","USD","","","2025-08-06","LuckyDuckGames.com","","","","","Lucky Duck Games","English","2021","English edition"
"Citizens of the Spark","415465","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135572590","5.88497","7.51146","2.2941","3928","1300","thing","Citizens of the Spark","1","5","60","60","45","2025","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","47.29","USD","","","2025-08-19","AtomicEmpire.com","1","","","","Thunderworks Games","English","2025","English edition"
"Civolution","400602","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","130655294","7.32471","8.19305","4.2199","221","8923","thing","Civolution","1","4","180","180","90","2024","1,2,3","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","75.47","","","","2025-08-06","gamenerdz.com","","","","","","","",""
"Clank!: Catacombs","365717","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","132741660","7.74833","8.24242","2.4889","55","22242","thing","Clank!: Catacombs","2","4","90","90","45","2022","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Command of Nature","390422","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004325","5.81306","6.99248","2.3704","4575","4295","thing","Command of Nature","2","4","60","60","30","2024","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Compile: Main 1","406652","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","123862795","6.78615","7.86026","2.3333","763","8674","thing","Compile: Main 1","2","2","30","30","20","2024","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","128573507","6.58712","6.74478","1.3772","1117","36798","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia Venus","256916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133725806","7.58069","8.25506","3.0183","104","12217","thing","Concordia Venus","2","6","120","120","60","2019","2,3,4,5,6","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","50.99","USD","","","2025-06-28","Tabletopmerchant.com","","","","","Rio Grande Games","English","2019","English edition"
"CONFIDENT?","251726","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","133454369","5.66845","6.64056","1","6887","978","thing","CONFIDENT?","3","99","40","40","20","2018","3,4,5,6","5,6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter: 42nd Anniversary Edition","313010","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003867","6.56825","8.13441","2.4898","1151","4087","thing","Cosmic Encounter: 42nd Anniversary Edition","3","5","120","120","60","2018","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","52.22","USD","","","2019-07-09","Amazon.com","","","","","Fantasy Flight Games","English","2018","English edition"
"Cosmic Encounter: Cosmic Incursion","61001","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003905","7.16818","8.22515","2.6852","0","13676","thing","Cosmic Encounter: Cosmic Incursion","3","6","60","60","60","2010","4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Odyssey","360372","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003881","5.81643","8.75358","3.2","0","2037","thing","Cosmic Encounter: Cosmic Odyssey","3","8","0","0","0","2022","4,5,6,7,8","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
